Timestamp,Operating System,CPU Cycle Rate (in GHz),CPU Number of Cores (int),RAM (in GB),Hard Drive Size (in GB),GPU (short description as a string),GPU CUDA Number of Cores (int)
6/13/2023 13:21:08,Windows,3,8,16,935,NVIDIA GeForce RTX 2060 with Max-Q Design,5888
6/13/2023 13:23:33,I use Mac and Linux,2133,2,8,250,Intel Iris Plus Graphics,1
6/13/2023 13:24:29,MacOS,3.2,8,8,256,M1,8
6/13/2023 13:25:04,MacOS,3.6,12,32,1000,M2 Max,38
6/13/2023 13:25:31,Windows,2.3,8,16,500,NVIDIA GeForce RTX 3050 Ti Laptop GPU,2560
6/13/2023 13:25:58,Windows,3.3,4,16,475,NVIDA GeForce RTX 3050 Ti Laptop GPU,2560
6/13/2023 13:26:11,Windows,1.8,4,8,237,Intel(R) UHD Graphics 620,0
6/13/2023 13:26:34,MacOS,1.4,8,8,251,Intel Iris Plus Graphics 645,4
6/13/2023 13:27:13,MacOS,2.3,4,8,250,Intel Iris Plus Graphics 655,48
6/13/2023 13:27:19,MacOS,3.49,8,8,245,Apple M2 GPU,8
6/13/2023 13:27:34,Windows,4.7,10,16,1000,Intel® Iris® Xe Graphics,4
6/13/2023 13:27:54,Windows,2.4,4,16,512,Integrated Graphics,0
6/13/2023 13:28:00,MacOS,3.49,8,8,500,M2 Chip,10
6/13/2023 13:28:10,Windows,2.6,6,16,952,NVIDIA GeForce GTX 1650 with Max-Q Design,1024
6/13/2023 13:28:44,MacOS,1.6,2,8,256,Intel UHD Graphics 617 1536 MB,0
6/13/2023 13:28:47,MacOS,2.4,4,16,251,Intel Iris Plus Graphics,384
6/13/2023 13:29:06,MacOS,2.8,4,16,500,Intel Iris Plus Graphics 655 1536 MB,384
6/13/2023 13:29:19,MacOS,2.4,4,8,500,Intel Iris Plus Graphics 655 1536 MB,1
6/13/2023 13:29:23,Windows,1.8,4,8,238,N/A,0
6/13/2023 13:29:29,MacOS,3.49,8,8,245,Apple M2 GPU,8
6/13/2023 13:29:44,MacOS,1.4,4,8,256,Intel Iris Plus Graphics 645,1
6/13/2023 13:29:45,MacOS,1.6,2,8,128,Intel HD Graphics 4000,1
